ZincID,Smiles,S
ZINC000005548028,O=[N+]([O-])c1ccc(NC(=O)CC(C(=O)[O-])Cc2cc(C)ccc2)cc1,-7.443
ZINC000001678295,O=C(OCc1ccccc1)NC(C(=O)OC(C)(C)C)CCC(=O)[O-],-7.441
ZINC000256048506,O=C([O-])c1c(N(CC)Cc2ccccc2)nn(-c2ccc(C)cc2)n1,-7.441
ZINC000299798549,O=C([O-])CC1C(c2nnn(C)c2)CN(C(=O)CCn2c(C)[nH+]cc2)C1,-7.440
ZINC000000446778,O=[N+]([O-])c1cc(C=C(NC(=O)c2cc(C)ccc2)C(=O)[O-])ccc1,-7.440
ZINC000101265883,O=C([O-])COC1=C(c2ccc(N(C)C)cc2)Oc2c(C1=O)cccc2,-7.439
ZINC000007342485,S(C(C(=O)[O-])=Cc1cc2OCCOc2cc1)c1[nH]c(CC)nn1,-7.439
ZINC000408513401,O=C([O-])CN(C(=O)CN1C(C)(C)C(=O)NC1=O)CCc1ccccc1,-7.438
ZINC000299802383,O=C([O-])CC1C(c2nnn(C)c2)CN(Cc2n(CCOC)cc[nH+]2)C1,-7.437
ZINC000536954244,O=C(OCc1ccccc1)NCCC(COCC=C)CC(=O)[O-],-7.436
ZINC000008272265,S(C(C(=O)[O-])=Cc1cc(OC)c(OCC#N)cc1)c1[nH]c(C)nn1,-7.435
ZINC000046053427,O=C(Nc1cc(C(=O)[O-])c(N(CCC#N)C)cc1)CCCC,-7.435
ZINC000262879276,O=C([O-])C(NC(=O)C1CN(CC2[NH+](CC)CCC2)C(=O)C1)C(C)C,-7.433
ZINC000002107328,O=C([O-])C(NC(=O)CCC=1C(=O)Oc2c(C=1C)ccc(O)c2)CCC,-7.431
ZINC000067724640,FC1(F)CC[NH+](C2Cc3c(C(=O)[O-])nn(CCC)c3CC2)CC1,-7.431
ZINC000256047955,Fc1ccc(-n2nc(C(=O)[O-])c(N3Cc4c(cccc4)CC3)n2)cc1,-7.430
ZINC000067868304,O=C([O-])c1nn(CC(C)C)c2c1CC([NH+]1CCCCCC1)CC2,-7.429
ZINC000067692800,O=C(NC)CC[NH+](C)C1Cc2c(C(=O)[O-])nn(CC(C)C)c2CC1,-7.429
ZINC001506421358,O=C([O-])c1c(OC)ccc(C[NH+](C(COC)c2ncccc2)C)c1,-7.429
ZINC000003457128,S(=O)(=O)(N(CC)CC)c1cc(C(=O)[O-])c(N2CCOCC2)cc1,-7.428
ZINC000007342269,S(C(C(=O)[O-])=Cc1cc2OCCOc2cc1)c1[nH]c(CCC)nn1,-7.428
ZINC000072152805,O=C(N1CC(C(=O)[O-])CC(C(=O)N2CCOCC2)C1)c1ccccc1,-7.428
ZINC000002387109,O=C(Nc1cc(C(=O)[O-])c(C(=O)c2c(O)cc(N(C)C)cc2)cc1)C,-7.428
ZINC000236895759,O=C([O-])CCN(C(=O)c1n[nH]c(CCC)c1)C1CCOCC1,-7.427
ZINC000219557762,O=C([O-])C1(CC2CC2)CN(Cc2oc(C3CC3)nn2)CCC1,-7.427
ZINC000262751352,O=C([O-])CC1OCCN(C(=O)CCCc2onc(C(C)(C)C)n2)C1,-7.426
ZINC000091587482,O=C(N1CC(C(=O)[O-])C(c2c(C)cccc2)C1)c1c(C)oc(C)c1,-7.426
ZINC000238109617,O=C([O-])CCN(C(=O)c1cc2c([nH]cc2)cc1)CC1OCCC1,-7.425
ZINC000020615922,O=C([O-])C=1n2nc(-c3ccccc3)cc2N=C(c2nn(CC)cc2)C=1,-7.424
ZINC000071764605,O=C([O-])C1CN(Cc2[nH+]cc[nH]2)CC(C(=O)NCc2cnccc2)C1,-7.424
ZINC000238013999,O=C([O-])CCC1CN(C(=O)C2CN(Cc3occc3)C(=O)C2)CCC1,-7.423
ZINC000299801834,O=C([O-])CC1C(c2nnn(C)c2)CN(C(=O)c2oc(OCC)cc2)C1,-7.423
ZINC000237964847,O=C([O-])CCC1CN(C(=O)C2CN(C(=O)C2)C2CCCC2)CCC1,-7.422
ZINC000012997503,P(=O)([O-])([O-])C([NH2+]Cc1ccccc1)c1cc2OCCOc2cc1,-7.421
ZINC000066325955,O=C(OCc1ccccc1)NC(C(=O)[O-])CNC(=O)OCC=C,-7.421
ZINC000261931531,O=C(C(Oc1c(C#N)cccc1)C)N1CC(C(=O)[O-])OCC1,-7.421
ZINC000256048024,O=C([O-])c1c(N(Cc2ccccc2)C)nn(-c2cc(C)cc(C)c2)n1,-7.420
ZINC000256046098,O=C([O-])c1c(N(Cc2ccccc2)C)nn(-c2c(C)c(C)ccc2)n1,-7.420
ZINC000069492036,O=C([O-])C1C(N(Cc2cn(C)nc2)C(=O)C1)c1cc2c(OCC2)cc1,-7.420
ZINC000256049005,O=C([O-])c1c(N2CC[NH+](CCO)CC2)nn(-c2c(CC)cccc2)n1,-7.420
ZINC000226748958,O=C([O-])CC(CC(=O)NCc1cnccc1)c1ccc(OC)cc1,-7.419
ZINC000017861001,O=C([O-])C(N=CCC(=O)c1ccccc1)Cc1c2c([nH]c1)cccc2,-7.419
ZINC000013429132,O=C([O-])CCN(C(=O)COc1ccc(C#N)cc1)Cc1ccccc1,-7.418
ZINC000055413708,O=C([O-])C=1C(=O)C(Oc2ccccc2)=CN(CC2[NH+](CC)CCC2)C=1,-7.418
ZINC000426546229,O=C([O-])C=1C(=O)C(C(=O)N(CCOC)C)=CN(C(C)C)C=1,-7.417
ZINC000299802383,O=C([O-])CC1C(c2nnn(C)c2)CN(Cc2n(CCOC)cc[nH+]2)C1,-7.416
ZINC000004666701,S(CC(=O)[O-])CCOc1ccc(OCCSCC(=O)[O-])cc1,-7.416
ZINC000097394215,O=C(N1CC(C(=O)[O-])C[NH+](CC2CCC2)CC1)c1occc1,-7.416
ZINC000238101374,Fc1c(CCC(=O)N(CCC(=O)[O-])CC2OCCC2)cccc1,-7.416
ZINC000008348409,S(=O)(=O)(N(C)C)c1c(OCC)ccc(NC(=O)CC(C)C)c1,-7.416
ZINC000013323607,O=C([O-])C1C(C(=O)NCCCN2C(=O)CCC2)CC(C)=C(C)C1,-7.415
ZINC000370551451,O=C([O-])CN(C(=O)CCN1C(=O)C2(NC1=O)CCCC2)C(C)C,-7.415
ZINC000868451469,O=C(CCc1sccc1)N1CC(C(=O)[O-])CC(c2cn(C)nc2)C1,-7.415
ZINC000013016436,P(=O)([O-])([O-])C([NH2+]CCc1scc(C)n1)c1cc(C#N)ccc1,-7.414
ZINC000095525267,O=C([O-])C(NC(=O)C1CCN(C(=O)C2CC2)CC1)c1c(C)[nH]nc1C,-7.412
ZINC000006699851,O=C(OC)c1ccc(NC(=O)C2C(C(=O)[O-])CC(C)=C(C)C2)cc1,-7.412
ZINC000071440373,O=C([O-])C1[NH+](Cc2c(C)nn(CC)c2)CCN(c2ncccn2)C1,-7.412
ZINC000064980624,O=C(NCCC1=CCCCC1)Cc1n(CC)cc(C)c1C(=O)[O-],-7.411
ZINC000014632461,O(C(C)(C)C)C(=O)N1C(C(=O)[O-])CC(Oc2c(C)cccc2)C1,-7.410
ZINC000055244826,O=C([O-])C(N1CC(=O)N(C2CCCC2)CC1)c1c(OC)ccc(C)c1,-7.408
ZINC000072431493,O=C(C(CC)[NH+]1CCCC1)N1CCC(C(=O)[O-])(n2ncc(C)c2)CC1,-7.408
ZINC000426445645,O=C([O-])C=1C(=O)C(C(=O)NC(CC)c2cnccc2)=CN(C(C)C)C=1,-7.408
ZINC000299798606,O=C([O-])CC(NC(=O)CCN1C(=O)CCCCC1)c1ccccc1,-7.407
ZINC000299747792,O=C([O-])CCN(C(=O)c1noc(C2CC2)c1)CC1OCCC1,-7.407
ZINC000221285820,O=C([O-])C(NC(=O)CCN1C(=O)NC(=O)C=C1)c1cc(C)ccc1,-7.406
ZINC000013320365,O=C([O-])C1C(C(=O)N2CCN(c3ccc(OC)cc3)CC2)CC=CC1,-7.405
ZINC000000418753,O=C(Nc1c(C)cccc1)C(Cc1ccc(OC)cc1)c1nnn[n-]1,-7.405
ZINC001772701634,O=C(N(CC(=O)[O-])Cc1[nH+]c(C)[nH]c1)C(Oc1cc(C)c(C)cc1)C,-7.404
ZINC000095989859,O=C([O-])CC(NC(=O)CNC(=O)CCC1CCCC1)(COC)C,-7.404
ZINC000238182703,O=C([O-])CCCCNC(=O)C1CN(C(=O)C1)C1CCCCCC1,-7.404
ZINC000408513301,O=C([O-])CCN(C(=O)COc1ccc(C)cc1)C1CCOCC1,-7.403
ZINC000828479889,O=C(CN1CC(C(=O)[O-])CN(c2nccnc2)CC1)N1CC[NH2+]CC1,-7.403
ZINC000868451466,O=C(CCc1sccc1)N1CC(C(=O)[O-])CC(c2cn(C)nc2)C1,-7.403
ZINC000256046905,O=C([O-])c1c(N2Cc3c(cccc3)CC2)nn(-c2ccc(C)cc2)n1,-7.403
ZINC000536954616,O=C(OCc1ccccc1)NCCC(COCCC)CC(=O)[O-],-7.403
ZINC000253407408,O=C([O-])C1C(C(=O)N2CCCCC2)C[NH+](Cc2ccccc2)C1,-7.403
ZINC000263089618,O=C(COc1ccc(C(=O)N)cc1)N1C(C(=O)[O-])C(C)CCC1,-7.402
ZINC000630242733,O=C([O-])C(NC(=O)c1n[nH]c2c1CCCC2)Cc1cc(OC)ccc1,-7.402
ZINC000095382114,O=C([O-])C([NH+](Cc1c(C)cccn1)C)c1ccc(C(C#N)(C)C)cc1,-7.402
ZINC000299750236,O=C(NCc1ccc(C(=O)N(CCC(=O)[O-])CC2OCCC2)cc1)N,-7.401
ZINC000256046276,O=C([O-])c1c(N(Cc2ccccc2)C)nn(-c2c(C)cc(C)cc2)n1,-7.401
ZINC000095097189,O=C([O-])Cc1c(-c2cc(OC)c(OC)cc2)nc(N2CCCC2)s1,-7.400
ZINC000952876223,O=C([O-])CNC(=O)C1N(C(=O)CCC2(CCC#C)N=N2)CCC1,-7.399
ZINC000096166555,O=C([O-])C12C(C[NH+](CC3CCC3)C1)CN(CCc1[nH+]c(C)ccc1)C2,-7.399
ZINC000095424640,O=C([O-])C(NC(=O)CN1C(=O)CSC1)(COc1ccccc1)C,-7.399
ZINC000007342261,S(C(C(=O)[O-])=Cc1ccc(N(C)C)cc1)c1[nH]c(CCC)nn1,-7.399
