Dockingscore,SMILES
-7.04,O=C([O-])c1c(-c2ccc(OC)cc2)onc1NCCCC1COCC1
-7.04,O=C(NCCCc1nnn[n-]1)c1nnn(CC2OCCC2)c1
-7.04,O=C([O-])CC1C(=O)NC(=NN=C2c3c(ccc(OC)c3)CCC2)S1
-7.04,Clc1cc2c(OCC(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)cc1
-7.04,S(=O)([O-])(=Nc1cc(CC(=O)[O-])ccc1)c1cc2c(OCCC2)cc1
-7.04,O=C([O-])c1c(C(NC(=O)c2cnccc2)C)onc1-c1ccccc1
-7.04,O=C([O-])Cc1nc(NC(=O)Cc2c(C)n(C)nc2C)sc1
-7.04,Fc1c2OC(C(=O)N(CCC(=O)[O-])C3CCOCC3)Cc2ccc1
-7.04,O=C(N(CC(C)c1nnn[n-]1)C)c1c(C)n(-c2ccc(C)cc2)nn1
-7.04,O=C([O-])C(NC(=O)C=Cc1cc(OCC)ccc1)Cc1ccccc1
-7.04,O=C([O-])CCC1CN(C(=O)c2cn(C(C)(C)C)nc2)CCC1
-7.04,O=C(N1CC(c2[nH]c(CCC)nn2)OCC1)c1nc2n(c1)C=CC=N2
-7.03,O=C([O-])C(CNC(=O)c1c(CC)nns1)Cc1ccccc1
-7.03,Fc1ccc(C2C(C(=O)NC(C(=O)[O-])Cc3ccccc3)C2)cc1
-7.03,O=C(CN1C(=O)N(CC=C)C(=O)C1=O)N1C(C(=O)[O-])CCCC1
-7.03,O=C([O-])C(NC(=O)C(N)Cc1[nH]cnc1)Cc1ccccc1
